7a58fbf1-a289-4ea3-b6f8-dc1ccc376c29,	6,	51,	25,	
eb718b74-51ac-4b1e-9531-e62954e7d605,	0,	52,	26,	
8134091f-90dc-4334-ac35-971f417707a6,	2,	54,	27,	
0595d5bf-3fe9-42a4-a445-b9d2f14eaf6e,	6,	55,	27,	
060329c7-e535-4647-809f-b37ec0539bb9,	0,	56,	28,	
da912553-0087-4f55-8caa-ace5db30603c,	8,	58,	29,	
cddf3c66-65a6-4237-ac59-9f74c669a871,	6,	59,	29,	
9b435d23-b4a8-4c0a-8d29-9a1aca16934d,	5,	61,	30,	
684b4878-be85-4afb-932f-4005071c560b,	7,	62,	31,	
32e29031-cd9d-4b6e-b3f3-de489f489a19,	2,	64,	32,	
2feb4b00-f277-4bf0-948e-2c43851d74f9,	7,	65,	32,	
6b0003a6-7900-4c7c-9b39-015903421b57,	9,	67,	33,	
3ed92c34-67b4-48cd-9ba8-1fcb7e8fe1bd,	9,	68,	34,	
48d4ab27-d89e-4c11-a8a1-b2aded30ad4a,	7,	70,	35,	
af643a8f-0d38-44dd-8859-7d6e7cbe605e,	9,	72,	36,	
79596712-0e31-409b-8d26-78410b603740,	0,	73,	36,	
9e6c9196-4483-4a54-bbe7-35920de0173e,	5,	75,	37,	
55686b7b-8694-4dd4-91bc-dcfb3b56beab,	6,	77,	38,	
8df41b36-f574-45b9-8284-d2b6c9f0827d,	0,	79,	39,	
4474411a-cb71-4c20-97da-83148d6fcc1c,	3,	81,	40,	
1b336d6d-9da9-4d25-9d23-0a2d54ccf1f3,	2,	83,	41,	
226eb66a-2ca5-4f22-b82d-bf34156fe91f,	2,	85,	42,	
7fee8b9e-41f8-4d8b-8527-81ea05b3fd3d,	5,	87,	43,	
72a586ca-9fcf-4d66-a0b8-59950f7e6635,	1,	89,	44,	
4d79c249-df80-4d90-b5ee-958b31278b97,	8,	91,	45,	
92c5a633-02c5-4b10-b590-c76afd79007d,	4,	93,	46,	
feacaee0-f9a9-45a3-b9a6-2ebe82dec2b9,	0,	96,	48,	
62461b95-c11f-46f1-9119-40907a7efa2e,	1,	98,	49,	
125a7903-5cc4-417a-9bd2-0c62d2e683c6,	6,	100,	50,	
8d470ed3-1b41-4d82-91fd-2c1fee01499c,	3,	103,	51,	
59f96f6e-e13f-4bfe-9e39-e740e81842d7,	1,	105,	52,	
